@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x01465D	0x672B
0x01465E	0x672D
0x01465F	0x6B63
0x014660	0x6BCD
0x014661	0x6C11
0x014662	0x6C10
0x014663	0x6C38
0x014664	0x6C41
0x014665	0x6C40
0x014666	0x6C3E
0x014667	0x72AF
0x014668	0x7384
0x014669	0x7389
0x01466A	0x74DC
0x01466B	0x74E6
0x01466C	0x7518
0x01466D	0x751F
0x01466E	0x7528
0x01466F	0x7529
0x014670	0x7530
0x014671	0x7531
0x014672	0x7532
0x014673	0x7533
0x014674	0x758B
0x014675	0x767D
0x014676	0x76AE
0x014677	0x76BF
0x014678	0x76EE
0x014679	0x77DB
0x01467A	0x77E2
0x01467B	0x77F3
0x01467C	0x793A
0x01467D	0x79BE
0x01467E	0x7A74
0x014721	0x7ACB
0x014722	0x4E1E
0x014723	0x4E1F
0x014724	0x4E52
0x014725	0x4E53
0x014726	0x4E69
0x014727	0x4E99
0x014728	0x4EA4
0x014729	0x4EA6
0x01472A	0x4EA5
0x01472B	0x4EFF
0x01472C	0x4F09
0x01472D	0x4F19
0x01472E	0x4F0A
0x01472F	0x4F15
0x014730	0x4F0D
0x014731	0x4F10
0x014732	0x4F11
0x014733	0x4F0F
0x014734	0x4EF2
0x014735	0x4EF6
0x014736	0x4EFB
0x014737	0x4EF0
0x014738	0x4EF3
0x014739	0x4EFD
0x01473A	0x4F01
0x01473B	0x4F0B
0x01473C	0x5149
0x01473D	0x5147
0x01473E	0x5146
0x01473F	0x5148
0x014740	0x5168
0x014741	0x5171
0x014742	0x518D
0x014743	0x51B0
0x014744	0x5217
0x014745	0x5211
0x014746	0x5212
0x014747	0x520E
0x014748	0x5216
0x014749	0x52A3
0x01474A	0x5308
0x01474B	0x5321
0x01474C	0x5320
0x01474D	0x5370
0x01474E	0x5371
0x01474F	0x5409
0x014750	0x540F
0x014751	0x540C
0x014752	0x540A
0x014753	0x5410
0x014754	0x5401
0x014755	0x540B
0x014756	0x5404
0x014757	0x5411
0x014758	0x540D
0x014759	0x5408
0x01475A	0x5403
0x01475B	0x540E
0x01475C	0x5406
0x01475D	0x5412
0x01475E	0x56E0
0x01475F	0x56DE
0x014760	0x56DD
0x014761	0x5733
0x014762	0x5730
0x014763	0x5728
0x014764	0x572D
0x014765	0x572C
0x014766	0x572F
0x014767	0x5729
0x014768	0x5919
0x014769	0x591A
0x01476A	0x5937
0x01476B	0x5938
0x01476C	0x5984
0x01476D	0x5978
0x01476E	0x5983
0x01476F	0x597D
0x014770	0x5979
0x014771	0x5982
0x014772	0x5981
0x014773	0x5B57
0x014774	0x5B58
0x014775	0x5B87
0x014776	0x5B88
0x014777	0x5B85
0x014778	0x5B89
0x014779	0x5BFA
0x01477A	0x5C16
0x01477B	0x5C79
0x01477C	0x5DDE
0x01477D	0x5E06
0x01477E	0x5E76
0x014821	0x5E74
0x014822	0x5F0F
0x014823	0x5F1B
0x014824	0x5FD9
0x014825	0x5FD6
0x014826	0x620E
0x014827	0x620C
0x014828	0x620D
0x014829	0x6210
0x01482A	0x6263
0x01482B	0x625B
0x01482C	0x6258
0x01482D	0x6536
0x01482E	0x65E9
0x01482F	0x65E8
0x014830	0x65EC
0x014831	0x65ED
0x014832	0x66F2
0x014833	0x66F3
0x014834	0x6709
0x014835	0x673D
0x014836	0x6734
0x014837	0x6731
0x014838	0x6735
0x014839	0x6B21
0x01483A	0x6B64
0x01483B	0x6B7B
0x01483C	0x6C16
0x01483D	0x6C5D
0x01483E	0x6C57
0x01483F	0x6C59
0x014840	0x6C5F
0x014841	0x6C60
0x014842	0x6C50
0x014843	0x6C55
0x014844	0x6C61
0x014845	0x6C5B
0x014846	0x6C4D
0x014847	0x6C4E
0x014848	0x7070
0x014849	0x725F
0x01484A	0x725D
0x01484B	0x767E
0x01484C	0x7AF9
0x01484D	0x7C73
0x01484E	0x7CF8
0x01484F	0x7F36
0x014850	0x7F8A
0x014851	0x7FBD
0x014852	0x8001
0x014853	0x8003
0x014854	0x800C
0x014855	0x8012
0x014856	0x8033
0x014857	0x807F
0x014858	0x8089
0x014859	0x808B
0x01485A	0x808C
0x01485B	0x81E3
0x01485C	0x81EA
0x01485D	0x81F3
0x01485E	0x81FC
0x01485F	0x820C
0x014860	0x821B
0x014861	0x821F
0x014862	0x826E
0x014863	0x8272
0x014864	0x827E
0x014865	0x866B
0x014866	0x8840
0x014867	0x884C
0x014868	0x8863
0x014869	0x897F
0x01486A	0x9621
