F4E6;SABINE SCRIPT SMALL LETTER F;Ll;0;L;<font> 0066;;;;N;;;;;
F4E7;SABINE SCRIPT SMALL LETTER G;Ll;0;L;<font> 0067;;;;N;;;;;
F4E8;SABINE SCRIPT SMALL LETTER H;Ll;0;L;<font> 0068;;;;N;;;;;
F4E9;SABINE SCRIPT SMALL LETTER I;Ll;0;L;<font> 0069;;;;N;;;;;
F4EA;SABINE SCRIPT SMALL LETTER J;Ll;0;L;<font> 006A;;;;N;;;;;
F4EB;SABINE SCRIPT SMALL LETTER K;Ll;0;L;<font> 006B;;;;N;;;;;
F4EC;SABINE SCRIPT SMALL LETTER L;Ll;0;L;<font> 006C;;;;N;;;;;
F4ED;SABINE SCRIPT SMALL LETTER M;Ll;0;L;<font> 006D;;;;N;;;;;
F4EE;SABINE SCRIPT SMALL LETTER N;Ll;0;L;<font> 006E;;;;N;;;;;
F4EF;SABINE SCRIPT SMALL LETTER O;Ll;0;L;<font> 006F;;;;N;;;;;
F4F0;SABINE SCRIPT SMALL LETTER P;Ll;0;L;<font> 0070;;;;N;;;;;
F4F1;SABINE SCRIPT SMALL LETTER Q;Ll;0;L;<font> 0071;;;;N;;;;;
F4F2;SABINE SCRIPT SMALL LETTER R;Ll;0;L;<font> 0072;;;;N;;;;;
F4F3;SABINE SCRIPT SMALL LETTER S;Ll;0;L;<font> 0073;;;;N;;;;;
F4F4;SABINE SCRIPT SMALL LETTER T;Ll;0;L;<font> 0074;;;;N;;;;;
F4F5;SABINE SCRIPT SMALL LETTER U;Ll;0;L;<font> 0075;;;;N;;;;;
F4F6;SABINE SCRIPT SMALL LETTER V;Ll;0;L;<font> 0076;;;;N;;;;;
F4F7;SABINE SCRIPT SMALL LETTER W;Ll;0;L;<font> 0077;;;;N;;;;;
F4F8;SABINE SCRIPT SMALL LETTER X;Ll;0;L;<font> 0078;;;;N;;;;;
F4F9;SABINE SCRIPT SMALL LETTER Y;Ll;0;L;<font> 0079;;;;N;;;;;
F4FA;SABINE SCRIPT SMALL LETTER Z;Ll;0;L;<font> 007A;;;;N;;;;;
F4FB;SABINE SCRIPT CAPITAL LETTER G;Lu;0;L;<font> 0047;;;;N;;;;;
F4FC;SABINE SCRIPT CAPITAL LETTER J;Lu;0;L;<font> 004A;;;;N;;;;;
F4FD;SABINE SCRIPT CAPITAL LETTER S;Lu;0;L;<font> 0053;;;;N;;;;;
F4FE;SABINE SCRIPT CAPITAL LETTER Y;Lu;0;L;<font> 0059;;;;N;;;;;
F4FF;SABINE SCRIPT TEXT CURSOR;So;0;ON;;;;;N;;;;;
